Type,Name
Activism,University of Michigan Permaculture Design Team
Health & Wellness,University of Michigan Permaculture Design Team
Service/Service Learning,University of Michigan Permaculture Design Team
Environmental,University of Michigan Permaculture Design Team
Sport Clubs & Recreation,University of Michigan Rugby Football Club
Department,University of Michigan School of Information
Science/Technology/Engineering,University of Michigan Science Olympiad
Environmental,University of Michigan Science Olympiad
Science/Technology/Engineering,University of Michigan Solar Car Team
Graduate/Professional,University of Michigan Solar Car Team
Media & Creative Writing,University of Michigan Solar Car Team
Sport Clubs & Recreation,University of Michigan Solar Car Team
Environmental,University of Michigan Solar Car Team
Science/Technology/Engineering,University of Michigan Steel Bridge Team
Graduate/Professional,University of Michigan Student-Run Free Clinic
Health & Wellness,University of Michigan Student-Run Free Clinic
Service/Service Learning,University of Michigan Student-Run Free Clinic
Science/Technology/Engineering,University of Michigan Supermileage Team
Environmental,University of Michigan Supermileage Team
Activism,University of Michigan Sustainable Food Program
Service/Service Learning,University of Michigan Sustainable Food Program
Environmental,University of Michigan Sustainable Food Program
Academic/Honor Societies,University of Michigan Undergraduate Research Journal
Science/Technology/Engineering,University of Michigan Undergraduate Research Journal
Media & Creative Writing,University of Michigan Undergraduate Research Journal
Service/Service Learning,University of Michigan Wolverine Battalion
Sport Clubs & Recreation,University of Michigan Women's Club Volleyball
Creative & Performing Arts,University of Michigan Women's Glee Club
Sport Clubs & Recreation,University of Michigan Women's Rugby Football Club
Service/Service Learning,University of Michigan Young Science Innovators
Activism,University Skateboard Collective
Creative & Performing Arts,University Skateboard Collective
Health & Wellness,University Skateboard Collective
Sport Clubs & Recreation,University Skateboard Collective
Activism,University Students Against Rape
Health & Wellness,University Students Against Rape
Service/Service Learning,University Students Against Rape
Gender/Sexuality,University Students Against Rape
Health & Wellness,Unmasked Michigan
Activism,Up Cancer at the University of Michigan 
Governance,Up Cancer at the University of Michigan 
Health & Wellness,Up Cancer at the University of Michigan 
Service/Service Learning,Up Cancer at the University of Michigan 
Science/Technology/Engineering,UpRound Ventures
Graduate/Professional,UpRound Ventures
Activism,Urbanism at The University of Michigan
Science/Technology/Engineering,Urbanism at The University of Michigan
Academic/Honor Societies,Urology Interest Group
Graduate/Professional,Urology Interest Group
Academic/Honor Societies,VAW Global Health Alliances
Cultural/Ethnic,VAW Global Health Alliances
Health & Wellness,VAW Global Health Alliances
Service/Service Learning,VAW Global Health Alliances
Cultural/Ethnic,"Vedanta Study Circle at University of Michigan, Ann Arbor"
Religious/Spiritual,"Vedanta Study Circle at University of Michigan, Ann Arbor"
Service/Service Learning,"Vedanta Study Circle at University of Michigan, Ann Arbor"
Activism,Veggies of MLaw
Environmental,Veggies of MLaw
Creative & Performing Arts,VeryUs
Cultural/Ethnic,VeryUs
Creative & Performing Arts,Vibrance Dance Company
Sport Clubs & Recreation,Victors FC
Academic/Honor Societies,Victors Value Investments
Graduate/Professional,Victors Value Investments
Business & Entrepreneurship,Victors Value Investments
Creative & Performing Arts,Video Game Music Club
Media & Creative Writing,Video Game Music Club
Activism,Vietnamese Student Association
Creative & Performing Arts,Vietnamese Student Association
Cultural/Ethnic,Vietnamese Student Association
Service/Service Learning,Vietnamese Student Association
Activism,Village Mentors at University of Michigan
Service/Service Learning,Village Mentors at University of Michigan
Graduate/Professional,Virtual Volunteers at the University of Michigan
Health & Wellness,Virtual Volunteers at the University of Michigan
Service/Service Learning,Virtual Volunteers at the University of Michigan
Activism,Visually Impaired Students Association
Health & Wellness,Visually Impaired Students Association
Media & Creative Writing,Visually Impaired Students Association
Service/Service Learning,Visually Impaired Students Association
Science/Technology/Engineering,VOID Tech Consulting
Creative & Performing Arts,WCBN FM
Graduate/Professional,WCBN FM
Media & Creative Writing,WCBN FM
Activism,WE READ
Creative & Performing Arts,WE READ
Service/Service Learning,WE READ
Activism,We the People Representing Our Unifying Diversity
Creative & Performing Arts,We the People Representing Our Unifying Diversity
Cultural/Ethnic,We the People Representing Our Unifying Diversity
Health & Wellness,We the People Representing Our Unifying Diversity
Media & Creative Writing,We the People Representing Our Unifying Diversity
Gender/Sexuality,We the People Representing Our Unifying Diversity
Activism,WeListen
Academic/Honor Societies,WeListen
Science/Technology/Engineering,WeListen
Governance,WeListen
Graduate/Professional,West Coast Forum
Governance,West Quad Hall Council
Activism,What the F/UAC
Creative & Performing Arts,What the F/UAC
Health & Wellness,What the F/UAC
Media & Creative Writing,What the F/UAC
Gender/Sexuality,What the F/UAC
Activism,White Coats for Planetary Health
Graduate/Professional,White Coats for Planetary Health
Environmental,White Coats for Planetary Health
Health & Wellness,Wigs 4 Kids
Service/Service Learning,Wigs 4 Kids
Graduate/Professional,Winding Roads
Health & Wellness,Winding Roads
Activism,Wishful Wolverine
Science/Technology/Engineering,Wishful Wolverine
Health & Wellness,Wishful Wolverine
Media & Creative Writing,Wishful Wolverine
Service/Service Learning,Wishful Wolverine
Creative & Performing Arts,WOLV TV
Governance,WOLV TV
Media & Creative Writing,WOLV TV
Media & Creative Writing,Wolvereads
Activism,Wolverine Against Racism
Service/Service Learning,Wolverine Airmen Association
Creative & Performing Arts,Wolverine Book Club
Media & Creative Writing,Wolverine Book Club
Academic/Honor Societies,Wolverine Capital Investments
Graduate/Professional,Wolverine Capital Investments
Business & Entrepreneurship,Wolverine Capital Investments
Service/Service Learning,Wolverine Connections
Graduate/Professional,Wolverine Esports & Gaming Association for Multiplayer Entertainment
Health & Wellness,Wolverine Esports & Gaming Association for Multiplayer Entertainment
Media & Creative Writing,Wolverine Esports & Gaming Association for Multiplayer Entertainment
Sport Clubs & Recreation,Wolverine Esports & Gaming Association for Multiplayer Entertainment
Business & Entrepreneurship,Wolverine Financial Group
Academic/Honor Societies,Wolverine Maritime Battalion
Academic/Honor Societies,Wolverine Sports Analytics
Science/Technology/Engineering,Wolverine Sports Analytics
Sport Clubs & Recreation,Wolverine Sports Analytics
Service/Service Learning,Wolverine Street Law
Graduate/Professional,Wolverine Street Medicine
Health & Wellness,Wolverine Street Medicine
Service/Service Learning,Wolverine Street Medicine
Activism,Wolverine Support Network
Cultural/Ethnic,Wolverine Support Network
Graduate/Professional,Wolverine Support Network
Health & Wellness,Wolverine Support Network
Service/Service Learning,Wolverine Support Network
Gender/Sexuality,Wolverine Support Network
Science/Technology/Engineering,Wolverine Tutors
Media & Creative Writing,Wolverine Tutors
Service/Service Learning,Wolverine Tutors
Graduate/Professional,Wolverine Wine Club
Activism,Wolverines for Life
Health & Wellness,Wolverines for Life
Service/Service Learning,Wolverines for Life
Activism,Wolverines For Life Student Chapter
Health & Wellness,Wolverines For Life Student Chapter
Service/Service Learning,Wolverines For Life Student Chapter
Creative & Performing Arts,WolverineSoft
Science/Technology/Engineering,WolverineSoft
Media & Creative Writing,WolverineSoft
Science/Technology/Engineering,WolvSec
Sport Clubs & Recreation,WolvSec
Activism,Women and Gender in Public Policy
Graduate/Professional,Women and Gender in Public Policy
Gender/Sexuality,Women and Gender in Public Policy
Activism,Women in Aeronautics and Astronautics
Academic/Honor Societies,Women in Aeronautics and Astronautics
Science/Technology/Engineering,Women in Aeronautics and Astronautics
Graduate/Professional,Women in Aeronautics and Astronautics
Service/Service Learning,Women in Aeronautics and Astronautics
Gender/Sexuality,Women in Aeronautics and Astronautics
Science/Technology/Engineering,Women in Electrical and Computer Engineering
Graduate/Professional,Women in Electrical and Computer Engineering
Gender/Sexuality,Women in Electrical and Computer Engineering
Graduate/Professional,Women in Law
Graduate/Professional,Women In Leadership
Health & Wellness,Women In Leadership
Gender/Sexuality,Women In Leadership
Academic/Honor Societies,Women in Mathematics
Graduate/Professional,Women in Mathematics
Gender/Sexuality,Women in Mathematics
Science/Technology/Engineering,WOMEN IN NUCLEAR STUDENT CHAPTER AT THE UNIVERSITY OF MICHIGAN
Graduate/Professional,WOMEN IN NUCLEAR STUDENT CHAPTER AT THE UNIVERSITY OF MICHIGAN
Environmental,WOMEN IN NUCLEAR STUDENT CHAPTER AT THE UNIVERSITY OF MICHIGAN
Graduate/Professional,Women In Real Estate
Gender/Sexuality,Women In Real Estate
Activism,Women Law Students Association
Graduate/Professional,Women Law Students Association
Service/Service Learning,Women Law Students Association
Gender/Sexuality,Women Law Students Association
Cultural/Ethnic,Women of Color & The Academy
Graduate/Professional,Women of Color & The Academy
Gender/Sexuality,Women of Color & The Academy
Graduate/Professional,Women Who Launch
Gender/Sexuality,Women Who Launch
Business & Entrepreneurship,Women Who Launch
Health & Wellness,Women's Club Lacrosse 
